Authorization Status,Country of FD Name,Item Category,Quantity,Item Net Weight,Item Grams,Rate,Invoice Date Only,Invoice Quantity,Invoice Status,Extra Fields Final Destination,Sourcing Type,Order Status,Minimum Order Value,Load Deviation,Transaction_Value
Pending,USA,Generic,225,45,150,8.96,11-06-2024,215,Invoice Generated,USA,Indian Export,Order Released,80,145,2016
Pending,Germany,Generic,105,5.25,50,6.52,,129,No Invoice,Germany,Indian Export,Order Released,40,65,684.6
Approved,Spain,Premium Chocolate,180,54,300,10.24,,129,Invoice Pending,Spain,Indian Export,Order Released,40,140,1843.2
Approved,South Korea,Premium Chocolate,468,46.8,100,16.655,,129,Invoice Pending,South Korea,Indian Export,Order Pending,40,425,7794.54
Pending,USA,Generic,108,32.4,300,10.86,,129,No Invoice,USA,Local/Regional Sourcing,Order Released,108,0,1172.88
Approved,Brazil,Brand Chips,60,30,500,12.57,,129,Invoice Pending,Brazil,Indian Export,Order Released,40,20,754.2
Pending,USA,Health Bars,156,23.4,150,13.95,08-06-2024,147,Invoice Generated,USA,Indian Export,Order Released,80,76,2176.2
Pending,Canada,Brand Chips,44,3.3,75,2.98,17-06-2024,47,Invoice Generated,Canada,Indian Export,Order Released,80,-36,131.12
Pending,France,Dried Fruit,52,3.9,75,13.65,,129,Invoice Pending,France,Local/Regional Sourcing,Order Pending,40,12,709.8
Pending,South Karea,Generic,132,9.9,75,6.14,07-06-2024,131,Invoice Generated,South Karea,Indian Export,Order Released,80,52,810.48
Pending,Australia,Premium Chips,44,8.8,200,4.59,,129,Unknown,Australia,Indian Export,Order Released,44,0,201.96
Pending,Brazil,Health Bars,132,15.4,100,5.25,,129,Invoice Pending,Brazil,Local/Regional Sourcing,Order Released,20,112,693
Under Review,Singapore,Generic,100,15,150,3.77,15-06-2024,110,Invoice Generated,Singapore,Indian Export,Order Released,80,20,377
Pending,Japaa,Regular Chips,138,20.7,150,1.63,,129,Invoice Generated,Japaa,Indian Export,Order Released,80,58,224.94
Approved,China,Regular Chips,56,11.2,200,5.47,09-06-2024,64,Invoice Generated,China,Indian Export,Order Released,80,-24,306.32
Under Review,South Korea,Popcorn,4,0.2,50,1.25,,129,Invoice Pending,South Korea,Indian Export,Order Released,4,0,5
Approved,China,Premium Chocolate,135,27,200,16.655,,129,No Invoice,China,Indian Export,Order Released,40,95,2248.425
Unknown,Australia,Popcorn,253,50.6,150,3.11,13-06-2024,247,Invoice Generated,Australia,Indian Export,Order Pending,140,0,786.83
Approved,France,Generic,264,19.8,75,8.27,,129,No Invoice,France,Indian Export,Order Pending,20,244,2183.28
Approved,Australia,Generic,132,26.4,200,6.25,05-06-2024,135,Invoice Generated,Australia,Indian Export,Order Released,40,92,825
Pending,Spain,Popcorn,128,9.6,75,4.93,,129,No Invoice,Spain,Indian Export,Order Pending,40,88,631.04
Unknown,South Korea,Regular Chips,259,64.75,250,3.37,,129,Invoice Pending,South Korea,Indian Export,Order Released,40,219,872.83
Pending,Spain,Generic,111,2.78,150,5.98,11-06-2024,104,Invoice Generated,Spain,Indian Export,Order Released,80,31,663.78
Pending,Singapore,Premium Chips,90,4.5,50,5.92,,129,No Invoice,Singapore,Indian Export,Order Pending,40,50,532.8
Pending,Canada,Generic,90,45,500,7.22,10-06-2024,80,Invoice Generated,Canada,Indian Export,Order Released,20,70,649.8
Pending,USA,Generic,21,1.05,50,1.91,,129,No Invoice,USA,Indian Export,Pending,40,-19,40.11
Pending,Australia,Generic,112,14,200,5.5,07-06-2024,111,Invoice Generated,Australia,Local/Regional Sourcing,Order Released,112,0,616
Pending,USA,Generic,420,10.5,25,7.1,,129,No Invoice,USA,Local/Regional Sourcing,Order Pending,140,0,2982
Pending,China,Generic,240,85.5,500,16.655,,129,Invoice Generated,China,Indian Export,Order Pending,40,200,3997.2
Pending,Australia,Brand Chips,40,12,300,2.97,10-06-2024,50,Invoice Generated,Australia,Indian Export,Order Released,40,0,118.8
Unknown,Canada,Regular Chips,450,11.25,25,5.8,16-06-2024,443,Invoice Generated,Canada,Indian Export,Order Released,80,370,2610
Approved,Brazil,Brand Chips,88,17.6,200,6.17,,129,Invoice Pending,Brazil,Indian Export,Order Pending,40,48,542.96
Pending,France,Generic,60,18,300,3.01,10-06-2024,62,Invoice Generated,France,Indian Export,Order Released,60,0,180.6
Pending,Germany,Generic,330,49.5,150,6.64,10-06-2024,328,Invoice Generated,Germany,Local/Regional Sourcing,Order Released,40,290,2191.2
Pending,UK,Unknown,10,0.25,25,5.36,,129,Invoice Pending,UK,Indian Export,Order Released,80,-70,53.6
Unknown,UK,Generic,154,38.5,250,6.35,,129,Invoice Pending,UK,Indian Export,Order Pending,40,114,977.9
Approved,China,Generic,140,3.5,150,11.07,11-06-2024,142,Invoice Generated,China,Indian Export,Order Released,40,100,1549.8
Approved,Germany,Premium Nuts,45,6.75,150,16.655,,129,Invoice Pending,Germany,Indian Export,Order Released,45,0,749.475
Approved,Germany,Brand Chips,222,66.6,300,8.29,,129,No Invoice,Germany,Indian Export,Order Pending,20,202,1840.38
Pending,France,Brand Chips,17,5.1,300,4.03,,129,Unknown,France,Indian Export,Order Pending,80,-63,68.51
Pending,Brazil,Health Bars,90,45,500,13.47,,129,No Invoice,Brazil,Indian Export,Order Pending,20,70,1212.3
Under Review,Japan,Generic,210,15.4,50,4.31,,129,No Invoice,Japan,Indian Export,Order Pending,80,130,905.1
Approved,Spain,Generic,220,11,50,7.58,,129,No Invoice,Spain,Indian Export,Order Released,80,140,1667.6
Unknown,Germany,Jerky,120,60,500,6.25,,129,Invoice Pending,Germany,Indian Export,Order Released,40,80,750
Pending,Spain,Premium Chocolate,162,48.6,300,14.59,10-06-2024,153,Invoice Generated,Spain,Indian Export,Order Pending,20,142,2363.58
Approved,Japan,Unknown,90,4.5,50,9.01,14-06-2024,85,Invoice Generated,Japan,Indian Export,Order Released,80,10,810.9
Pending,Brazil,Generic,34,7.2,300,9.77,,129,Invoice Generated,Brazil,Local/Regional Sourcing,Order Released,40,-6,332.18
Approved,India,Generic,70,21,300,2.41,,129,Invoice Pending,India,Local/Regional Sourcing,Order Pending,80,-10,168.7
Under Review,Germany,Brand Chips,96,4.8,50,7.96,05-06-2024,93,Invoice Generated,Germany,Indian Export,Order Pending,20,76,764.16
Pending,Brazil,Generic,128,3.2,25,2.76,17-06-2024,123,Invoice Generated,Brazil,Local/Regional Sourcing,Order Pending,40,88,353.28
Under Review,Brazil,Unknown,132,13.8,75,7.34,,129,Invoice Pending,Brazil,Indian Export,Order Pending,80,52,968.88
Unknown,Italy,Premium Chocolate,46,2.3,50,6.25,,129,No Invoice,Italy,Indian Export,Order Released,46,0,287.5
Pending,Japan,Premium Chocolate,322,24.15,75,12.09,13-06-2024,318,Invoice Generated,Japan,Indian Export,Order Pending,40,282,3892.98
Pending,Mexico,Generic,6,1.8,150,6.25,06-06-2024,11,Invoice Generated,Mexico,Indian Export,Order Released,6,0,37.5
Approved,Italy,Regular Chips,96,4.8,50,2.06,13-06-2024,103,Invoice Generated,Italy,Local/Regional Sourcing,Order Released,96,0,197.76
Pending,Singapore,Generic,342,51.3,150,2.28,,129,Invoice Pending,Singapore,Indian Export,Pending,140,0,779.76
Pending,Mexico,Generic,124,62,500,7.65,,129,No Invoice,Mexico,Local/Regional Sourcing,Order Pending,20,104,948.6
Pending,Singapore,Unknown,132,33,250,4.18,16-06-2024,141,Invoice Generated,Singapore,Indian Export,Order Released,40,92,551.76
Pending,USA,Premium Nuts,108,15.4,300,16.655,12-06-2024,104,Invoice Generated,USA,Indian Export,Order Released,80,28,1798.74
Approved,China,Premium Chips,196,4.9,25,5.4,,129,Invoice Pending,China,Indian Export,Order Released,80,116,1058.4
Pending,South Korea,Generic,17,15.4,150,9.91,06-06-2024,20,Invoice Generated,South Korea,Indian Export,Order Pending,40,-23,168.47
Pending,South Korea,Unknown,26,13,500,4.82,,129,No Invoice,South Korea,Indian Export,Order Pending,80,-54,125.32
Pending,China,Unknown,264,6.6,25,9.57,11-06-2024,271,Invoice Generated,China,Local/Regional Sourcing,Order Released,40,224,2526.48
Unknown,France,Generic,275,55,200,4.57,,129,Unknown,France,Indian Export,Order Pending,40,235,1256.75
Pending,Spain,Generic,430,10.75,25,10.14,,129,No Invoice,Spain,Indian Export,Order Pending,80,350,4360.2
Unknown,USA,Unknown,132,37.5,250,10.62,,129,Invoice Pending,USA,Local/Regional Sourcing,Order Released,40,92,1401.84
Unknown,Singapore,Regular Chips,84,21,250,2.06,,129,No Invoice,Singapore,Indian Export,Order Pending,80,4,173.04
Approved,Spain,Peanuts,6,1.5,250,4.67,,129,No Invoice,Spain,Indian Export,Order Pending,20,-14,28.02
Pending,USA,Regular Chips,116,15.4,300,2.23,,129,No Invoice,USA,Indian Export,Order Released,80,36,258.68
Pending,South Korea,Premium Chips,320,8,25,10.11,05-06-2024,327,Invoice Generated,South Korea,Indian Export,Order Pending,20,300,3235.2
Pending,Mexico,Popcorn,119,2.98,150,2.14,05-06-2024,117,Invoice Generated,Mexico,Indian Export,Order Released,40,79,254.66
Pending,India,Generic,140,42,300,5.53,,129,No Invoice,India,Indian Export,Order Released,140,0,774.2
Pending,Australia,Regular Chips,88,6.6,150,3.62,14-06-2024,83,Invoice Generated,Australia,Local/Regional Sourcing,Order Released,20,68,318.56
Approved,Germany,Dried Fruit,38,2.85,75,5.57,,129,Invoice Pending,Germany,Indian Export,Order Released,20,18,211.66
Approved,India,Jerky,400,85.5,250,14.14,,129,Invoice Pending,India,Indian Export,Order Released,40,360,5656
Pending,USA,Popcorn,360,9,25,2.79,,129,Invoice Pending,USA,Local/Regional Sourcing,Order Released,40,320,1004.4
Approved,Australia,Regular Chips,68,3.4,50,1.88,04-06-2024,71,Invoice Generated,Australia,Indian Export,Order Released,68,0,127.84
Unknown,UK,Generic,440,44,100,7.89,,129,No Invoice,UK,Indian Export,Order Pending,20,420,3471.6
Pending,USA,Regular Chips,384,85.5,300,2.86,13-06-2024,380,Invoice Generated,USA,Local/Regional Sourcing,Order Released,80,304,1098.24
Under Review,China,Jerky,217,54.25,250,15.41,,129,Invoice Pending,China,Indian Export,Order Released,40,177,3343.97
Pending,Germany,Popcorn,144,36,250,4.77,07-06-2024,139,Invoice Generated,Germany,Indian Export,Order Released,40,104,686.88
Approved,Italy,Brand Chips,40,12,300,8.29,18-06-2024,39,Invoice Generated,Italy,Indian Export,Unknown,40,0,331.6
Under Review,Mexico,Regular Chips,144,36,250,4.94,,129,No Invoice,Mexico,Indian Export,Order Pending,140,0,711.36
Pending,Singapore,Generic,324,15.4,200,4.55,15-06-2024,330,Invoice Generated,Singapore,Local/Regional Sourcing,Order Released,40,284,1474.2
Pending,USA,Popcorn,196,58.8,300,3.51,17-06-2024,200,Invoice Generated,USA,Indian Export,Unknown,140,0,687.96
Approved,Japan,Premium Chips,31,6.2,200,7.51,,129,Invoice Pending,Japan,Indian Export,Order Pending,20,11,232.81
Pending,India,Popcorn,16,4.8,300,1.41,,129,No Invoice,India,Indian Export,Order Pending,40,-24,22.56
Unknown,Australia,Generic,396,9.9,25,6.25,,129,Unknown,Australia,Indian Export,Order Released,40,356,2475
Unknown,France,Brand Chips,384,9.6,25,8.52,17-06-2024,383,Invoice Generated,France,Indian Export,Order Released,20,364,3271.68
Unknown,Unknown,Regular Chips,100,2.5,25,6.07,05-06-2024,109,Invoice Generated,Unknown,Indian Export,Order Released,100,0,607
Approved,South Korea,Generic,171,51.3,300,3.39,12-06-2024,171,Invoice Generated,South Korea,Local/Regional Sourcing,Order Pending,40,131,579.69
Pending,USA,Health Bars,240,85.5,500,8.33,,129,No Invoice,USA,Local/Regional Sourcing,Order Pending,40,200,1999.2
Under Review,France,Generic,405,30.38,75,9.1,,129,No Invoice,France,Local/Regional Sourcing,Order Pending,40,365,3685.5
Approved,France,Brand Chips,34,2.55,75,16.655,,129,No Invoice,France,Local/Regional Sourcing,Order Released,40,-6,566.27
Pending,China,Premium Chips,294,7.35,25,3.97,19-06-2024,299,Invoice Generated,China,Indian Export,Order Released,40,254,1167.18
Unknown,UK,Premium Chocolate,12,2.4,200,16.655,,129,No Invoice,UK,Local/Regional Sourcing,Order Pending,80,-68,199.86
Pending,Brazil,Health Bars,324,24.3,75,4.47,15-06-2024,323,Invoice Generated,Brazil,Indian Export,Order Released,20,304,1448.28
Approved,Spain,Generic,132,11.83,25,9.49,11-06-2024,129,Invoice Generated,Spain,Indian Export,Order Pending,40,92,1252.68
Pending,Mexico,Jerky,235,47,200,16.655,19-06-2024,226,Invoice Generated,Mexico,Indian Export,Order Released,20,215,3913.925
Under Review,UK,Premium Chips,541,85.5,500,5.8,16-06-2024,597,Invoice Generated,UK,Indian Export,Order Pending,40,425,3137.8
Approved,Japan,Regular Chips,205,15.4,500,1.98,,129,Invoice Pending,Japan,Indian Export,Order Pending,80,125,405.9
Approved,USA,Peanuts,128,64,500,9.8,,129,No Invoice,USA,Indian Export,Order Pending,40,88,1254.4
Under Review,Brazil,Generic,6,15.4,50,3.62,09-06-2024,11,Invoice Generated,Brazil,Indian Export,Unknown,40,-34,21.72
Approved,India,Generic,168,33.6,200,3.84,,129,Invoice Pending,India,Indian Export,Order Released,140,0,645.12
Pending,South Korea,Brand Chips,234,17.55,75,3.58,06-06-2024,237,Invoice Generated,South Korea,Indian Export,Order Released,40,194,837.72
Unknown,France,Premium Chips,175,4.38,25,11.04,,129,No Invoice,France,Indian Export,Order Pending,140,0,1932
Pending,Canada,Generic,96,9.6,100,5.45,05-06-2024,94,Invoice Generated,Canada,Indian Export,Order Pending,80,16,523.2
Unknown,China,Brand Chips,120,3,25,4.33,,129,Invoice Pending,China,Indian Export,Order Pending,40,80,519.6
Under Review,Australia,Generic,144,10.8,75,3.03,09-06-2024,136,Invoice Generated,Australia,Indian Export,Order Released,40,104,436.32
Under Review,UK,Unknown,240,48,200,6.86,15-06-2024,241,Invoice Generated,UK,Local/Regional Sourcing,Order Released,80,160,1646.4
Pending,Germany,Generic,72,21.6,300,3.51,,129,No Invoice,Germany,Local/Regional Sourcing,Order Released,40,32,252.72
Under Review,UK,Premium Chocolate,70,7,100,9.44,,129,Invoice Pending,UK,Indian Export,Order Released,40,30,660.8
